Quote,Author,Book,Tags
"“Life is 99 percent attitude. Yet for the majority of people, it is the remaining one percent that dominates 99 percent of their life.”",Bill Madden,N/A,"activist, attitude, bill-madden, music, musician, poet, singer-songwriter, spirituality, stoicism, zen"
"“We cannot have, but can lose, everything.”",Mokokoma Mokhonoana,N/A,"ambition, bankruptcy, buddhism, death, failure, gratitude, loss, paradox, stoicism, success"
"“We sometimes learn, not from something, but from not having learned from it.”",Mokokoma Mokhonoana,N/A,"buddhism, education, experience, learning, lesson, lessons, stoicism, teaching, wisdom, zen"
“We make life even more painful by having expectations and preferences.”,Mokokoma Mokhonoana,N/A,"dislikes, expectation, expectations, happiness, life, likes, preference, spirituality, stoicism, suffering"
“Stoicism is Buddhism without the dogma.”,Bill Madden,N/A,"activist, bill-madden, buddhism, dogma, music, musician, poet, singer-songwriter, spirituality, stoicism"
“The most common act of violence is the relentless mental violence we perpetrate upon ourselves with nothing other than our thoughts.”,Bill Madden,N/A,"activist, bill-madden, buddhism, music, musician, poet, singer-songwriter, spirituality, stoicism, zen"
“Our mind can be in heaven while our body is in hell. And vice versa.”,Mokokoma Mokhonoana,N/A,"attitude, attitude-is-everything, buddhism, heaven, hell, mind, perspective, spirituality, stoicism, the-mind"
“That you are about to bury or have just buried your loved one does not make you and your loved ones immortal for a while.”,Mokokoma Mokhonoana,N/A,"buddhism, burial, cremation, death, funeral, immortality, life, mortality, pessimism, stoicism"
"“What good does it do you to go overseas, to move from city to city? If you really want to escape the things that harass you, what you're needing is not to be in a different place but to be a different person.”","Seneca,",Letters from a Stoic,stoicism
“In order to protect ourselves we must live like doctors and be continually treating ourselves with reason.”,Musonius Rufus,N/A,stoicism
"“For those who follow nature everything is easy and straightforward, whereas for those who fight against her life is just like rowing against the stream.”","Seneca,",Letters from a Stoic,stoicism
“Disturbance comes only from within- from our own perceptions. Everything you see will soon alter and cease to exist”,"Marcus Aurelius,",Meditations,"inspirational, stoicism"
"“[E]verything which went beyond our actual needs was just so much unnecessary weight, a burden to the man who had to carry it.”","Seneca,",Letters from a Stoic,stoicism
"“Not just that every day more of our life is used up and less and less of it is left, but this too: if we live longer, can we be sure our mind will still be up to understanding the world—to the contemplation that aims at divine and human knowledge? If our mind starts to wander, we’ll still go on breathing, go on eating, imagining things, feeling urges and so on. But getting the most out of ourselves, calculating where our duty lies, analyzing what we hear and see, deciding whether it’s time to call it quits—all the things you need a healthy mind for . . . all those are gone. So we need to hurry. Not just because we move daily closer to death but also because our understanding—our grasp of the world—may be gone before we get there.”",Marcus Aurelius,N/A,stoicism
"“We should not use philosophy like a herbal remedy, to be discarded when we're through. Rather, we must allow philosophy to remain with us, continually guarding our judgements throughout life, forming part of our daily regimen, like eating a nutritious diet or taking phisical exercise.”",Musonius Rufus,N/A,stoicism
“[W]e can have the things we need for our ordinary purposes if we will only be content with what the earth has made available on its surface.”,"Seneca,",Letters from a Stoic,stoicism
“The things that are essential are acquired with little bother; it is the luxuries that call for toil and effort.”,"Seneca,",Letters from a Stoic,stoicism
"“So the spirit must be trained to a realization and an acceptance of its lot. It must come to see that there is nothing fortune will shrink from[.]  There's no ground for resentment in all this. We've entered into a world in which these are the terms life is lived on – if you're satisfied with that, submit to them, if you're not, get out, whatever way you please.”","Seneca,",Letters from a Stoic,stoicism
“[A] man is wealthy if he has attuned himself to his restricted means and has made himself rich on little.”,"Seneca,",Letters from a Stoic,stoicism
“All vices are at odds with nature.”,"Seneca,",Letters from a Stoic,stoicism
"“Ambition: The willingness to continually question and assess one’s acceptance and contentment with their place in life; conjunct with the willingness to take action should a resolvable discrepancy between one’s values and one’s current standing, present itself. By extension, an ambitious person is someone who has to the best of their abilities thoughtfully defined their values and continues on to do whatever is reasonably possible to fully embrace who they are in life.”",Yann Tanguay,N/A,"ambition, mindfulness, stoicism"
"“Consider what intemperate lovers undergo for the sake of evil desires, and how much exertion others expend for the sake of making profit, and how much suffering those who are pursuing fame endure, and bear in mind that all of these people submit to all kinds of toil and hardship voluntarily. Is it then not monstrous that they for no honorable reward endure such things, while we for the sake of the ideal good - that is not only the avoidance of evil such as wrecks our lives, but also the acquisition of virtue, which we may call the provider of all goods -- are not ready to bear every hardship? And yet would not anyone admit how much better it is, in place of exerting oneself to win someone else's wife, to exert oneself the discipline of one's desires; in place of enduring hardships for the sake of money, the train oneself to want little; instead of giving oneself trouble about getting notoriety; instead of trying to find a way to injure an envied person, to enquire how not to envy anyone; and instead of slaving, as sycophants do, to win false friends, to undergo suffering in order to possess true friends? Since toil and hardship are a necessity for all, both for those who seek better and worse, it is preposterous that those pursuing the better are not much more eager in their efforts than those for whom there is small hope of reward for all their pains. ... It remains for me to say that who is unwilling to exert himself almost always convicts himself as unworthy of good, since all good is gained by toil.”","Musonius Rufus,",Lectures and Fragments,"exertion, good, stoicism, toil"
“[W]hatever happens is never as serious as rumour makes it out to be.”,"Seneca,",Letters from a Stoic,stoicism
"“[T]he man who spends his time choosing one resort after another in a hunt for peace and quiet, will in every place he visits find something to prevent him from relaxing. The story is told that someone complained to Socrates that travelling abroad had never done him any good and received the reply: ""What else can you expect, seeing that you always take yourself along with you when you go abroad?‟”","Seneca,",Letters from a Stoic,stoicism
"“To lose someone you love is something you'll regard as the hardest of all blows to bear, while all the time this will be as silly as crying because the leaves fall from the beautiful trees that add to the charm of your home. [...] At one moment chance will carry off one of them, at another moment another; but the falling of the leaves is not difficult  to bear, since they grow again, and it is no more hard to bear the loss of those whom you love and regard as brightening your existence; for even if they do not grow again they are replaced. ""But their successors will never be quite the same."" No, and neither will you.”","Seneca,",Letters from a Stoic,stoicism
